length,category,strength
4,Numbers Only,2.8214995861053467
5,Numbers Only,2.8416619300842285
6,Numbers Only,2.9107561111450195
7,Numbers Only,2.9825971126556396
8,Numbers Only,3.040253162384033
9,Numbers Only,3.0769879817962646
10,Numbers Only,3.086803436279297
4,Letters Only,5.004236698150635
5,Letters Only,5.972404956817627
6,Letters Only,7.088500022888184
7,Letters Only,7.956242084503174
8,Letters Only,8.461663246154785
9,Letters Only,8.761922836303711
10,Letters Only,9.029706954956055
4,Alphanumeric,37.34931182861328
5,Alphanumeric,43.98417282104492
6,Alphanumeric,51.39399719238281
7,Alphanumeric,59.55695724487305
8,Alphanumeric,68.33438873291016
9,Alphanumeric,77.59992218017578
10,Alphanumeric,87.2804183959961
